Date,s1,s2,s3,s4,s5,s6,s7,s8,pca_1,pca_2,pca_3,pca_4,labelrock,labelpaper,labelscissors,labelok
2019-06-06 12:06:05.229000092,-2.26829268292683,-0.463414634146341,-1.19512195121951,-1.68292682926829,2.41463414634146,0.829268292682927,-1.58536585365854,-1.73170731707317,-0.01175301104046,0.158989698299969,0.002334496256676,0.017831779460032,0,0,0,1
2019-06-06 12:06:05.229125023,2.82051282051282,0.153846153846154,-0.641025641025641,-0.58974358974359,0.256410256410256,-1.43589743589744,-0.538461538461538,0.564102564102564,-0.022822893406312,-0.09365527313753,0.14602164992146,0.00506243897144,0,0,0,1
2019-06-06 12:06:05.229249954,-0.675,-0.55,-0.625,-0.9,-3,-0.7,-0.05,-0.8,0.055584723803381,-0.051793722944413,0.007715087838534,-0.052881610419235,0,0,0,1
2019-06-06 12:06:05.229374886,-0.925,-0.9,-0.475,-0.375,0.75,0.525,-0.45,0.275,-0.06835282771344,-0.023099476013834,-0.028220904916795,-0.017516699406186,0,0,0,1
2019-06-06 12:06:05.229500055,-0.5,-0.85,-1.1,-1.25,0.4,1.375,-0.5,-1.375,-0.021323962287468,0.090177090684025,0.045738480018556,-0.00932241685291,0,0,0,1
2019-06-06 12:06:05.229624987,1.46341463414634,-0.341463414634146,-0.853658536585366,-1.19512195121951,-1.31707317073171,-4.21951219512195,-0.75609756097561,0.317073170731707,0.118303334161938,-0.06861957743695,0.118743205504261,-0.032683617036159,0,0,0,1
2019-06-06 12:06:05.229749918,-1.87179487179487,-1.1025641025641,-0.923076923076923,-0.871794871794872,1.87179487179487,2.30769230769231,-1.07692307692308,-3.28205128205128,-0.069327285353516,0.116201178931677,-0.042221322801938,0.043049472571841,0,0,0,1
2019-06-06 12:06:05.229875088,-1.475,-0.65,-0.7,-0.2,3.075,-1.675,-0.9,-2.675,-0.027618383592007,0.014811590664584,-0.055169886422772,0.054311497651626,0,0,0,1
2019-06-06 12:06:05.230000019,0.075,-1.025,-0.725,-0.875,1.325,4.325,-0.325,-0.8,-0.150449355391888,0.072401660442259,0.036417789946154,0.007708008038467,0,0,0,1
2019-06-06 12:06:05.230124950,0.5,-0.85,-0.7,-0.325,-2.35,-4.45,-0.625,0.675,0.117094250438322,-0.120972640185249,0.034675835831311,-0.053071798298157,0,0,0,1
2019-06-06 12:06:05.230250120,-0.292682926829268,0.292682926829268,-1.5609756097561,-1.29268292682927,3.82926829268293,1.14634146341463,-1.02439024390244,-1.51219512195122,-0.057540440363315,0.161762307961191,0.093136827097061,0.037258020470448,0,0,0,1
2019-06-06 12:06:05.230375051,2.02564102564102,-0.025641025641026,-0.179487179487179,0.41025641025641,-3.38461538461538,-7.23076923076923,-0.743589743589744,0.512820512820513,0.149652356464115,-0.289792064951398,0.048020092131488,-0.027291913751011,0,0,0,1
2019-06-06 12:06:05.230499983,-1.4,-0.45,-0.2,-0.325,-3.95,-1.975,-0.525,-1.675,0.079569623937949,-0.138470570712222,-0.067335211873955,-0.033665249179808,0,0,0,1
2019-06-06 12:06:05.230624914,3.85,-0.05,-0.475,-0.775,-2.25,-0.275,-1.025,-0.025,-0.009214910962239,-0.128639939444722,0.177160629828635,0.00776675027244,0,0,0,1
2019-06-06 12:06:05.230750084,2.05,-1.05,-0.375,-0.2,1.125,-0.675,-0.475,0.5,-0.072560981672579,-0.087586273518975,0.072586907309636,0.010725734464805,0,0,0,1
2019-06-06 12:06:05.230875015,0.219512195121951,0,-0.560975609756098,-0.170731707317073,0.292682926829268,2.1219512195122,-0.219512195121951,-0.634146341463415,-0.10937512196095,-0.037668022274568,0.020151278552265,0.005843335576713,0,0,0,1
2019-06-06 12:06:05.230999947,-0.461538461538462,-1.05128205128205,-0.923076923076923,-1.02564102564103,2.71794871794872,5.25641025641026,-0.435897435897436,-0.538461538461538,-0.18356854913277,0.135921025569645,0.032917581175276,0.011254234839286,0,0,0,1
2019-06-06 12:06:05.231125116,-1.85,-0.65,-0.975,-1.65,-1.425,1.225,-0.5,-1.35,0.028038667040629,0.082960413495849,0.005740869570207,-0.041175812190431,0,0,0,1
2019-06-06 12:06:05.231250048,0.375,-0.375,-0.825,-0.475,0.375,1.025,-0.55,-0.35,-0.060003895715132,-0.003448963854531,0.046214652057229,-0.002794007327439,0,0,0,1
2019-06-06 12:06:05.231374979,0.625,-0.725,-0.675,-0.7,-2.9,-1.775,-0.575,-0.1,0.070178298402415,-0.08298046021983,0.051506345970743,-0.044343054379193,0,0,0,1
2019-06-06 12:06:05.231499910,1.46341463414634,0.341463414634146,-0.75609756097561,-1.24390243902439,-0.024390243902439,2.58536585365854,-0.75609756097561,-0.51219512195122,-0.083010959685909,0.011006346434075,0.123360141059623,0.010100346807575,0,0,0,1
2019-06-06 12:06:05.231625080,3.69230769230769,-0.897435897435897,-1.17948717948718,-1.35897435897436,0.615384615384615,3.74358974358974,-0.538461538461538,-0.538461538461538,-0.108540853815815,0.076891204280982,0.217521291427548,0.017300202533291,0,0,0,1
2019-06-06 12:06:05.231750011,-2.3,-0.625,-0.675,1.875,-3.1,-1,-1.125,-0.2,0.00330184322953,-0.156217853170445,-0.161751728344268,-0.037072995249366,0,0,0,1
2019-06-06 12:06:05.231874943,-3.525,-0.75,-0.75,-0.1,4.05,1.75,-0.3,-2.15,-0.127137949237078,0.093479145892553,-0.131681702946696,0.031371373413654,0,0,0,1
2019-06-06 12:06:05.232000113,0.325,-0.5,-0.7,-0.525,3.025,2.975,0.1,-0.45,-0.166029814097418,0.045515288007417,0.04112533134793,0.019816970912897,0,0,0,1
2019-06-06 12:06:05.232125044,5,-0.414634146341463,-0.51219512195122,-0.731707317073171,-1.4390243902439,-2.41463414634146,-0.926829268292683,-0.487804878048781,0.028388618718606,-0.147176856388387,0.214397115367674,0.027014575031852,0,0,0,1
2019-06-06 12:06:05.232249975,-0.743589743589744,-0.461538461538462,-0.512820512820513,-0.512820512820513,0.153846153846154,0.897435897435897,-0.666666666666667,-1.58974358974359,-0.052971323008225,-0.017587877292751,-0.01715882750327,0.013190415907264,0,0,0,1
2019-06-06 12:06:05.232374907,0.65,-0.25,-0.675,0,0.2,-1.65,-1.05,0.175,-0.011280035011432,-0.082183436012761,0.033280284045908,0.002444295943169,0,0,0,1
2019-06-06 12:06:05.232500076,-1.25,-0.875,-0.55,-0.025,-2.35,-1.5,-0.15,0.35,0.03532681362424,-0.092240825739345,-0.051545013694548,-0.061861890955828,0,0,0,1
2019-06-06 12:06:05.232625008,3.125,-0.15,-0.55,-0.65,-4.975,-2.85,-1.05,0.125,0.112023462519065,-0.181571312137861,0.145541266276332,-0.034916068985344,0,0,0,1
